Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
28-10-2003,WIPRO,EQ,1229.9,1260,1274.7,1238,1262.5,1252.75,1256.71,566093,7.11413E+13,,94513,0.167
29-10-2003,WIPRO,EQ,1252.75,1272.3,1279.9,1227,1258,1258.65,1250.23,581137,7.26555E+13,,130617,0.2248
30-10-2003,WIPRO,EQ,1258.65,1268.45,1268.45,1245,1252,1252.15,1257.15,332456,4.17947E+13,,63173,0.19
31-10-2003,WIPRO,EQ,1252.15,1254.1,1349,1254.1,1341,1342.25,1307.24,730032,9.54324E+13,,145847,0.1998
03-11-2003,WIPRO,EQ,1342.25,1350.05,1438,1335.6,1433.25,1425.65,1388.45,786107,1.09147E+14,,205540,0.2615
04-11-2003,WIPRO,EQ,1425.65,1445.15,1498,1438,1450,1454.2,1468.89,937710,1.37739E+14,,214366,0.2286
05-11-2003,WIPRO,EQ,1454.2,1450,1450,1386,1440,1419.9,1412.64,631328,8.91841E+13,,69022,0.1093
06-11-2003,WIPRO,EQ,1419.9,1429.9,1488,1422.3,1448,1449.65,1461.95,840202,1.22833E+14,,157199,0.1871
07-11-2003,WIPRO,EQ,1449.65,1460,1479,1420,1425,1429.35,1441.81,416365,6.00321E+13,,39701,0.0954
10-11-2003,WIPRO,EQ,1429.35,1440,1440,1377.25,1422,1420.45,1406.05,264301,3.7162E+13,,68759,0.2602
11-11-2003,WIPRO,EQ,1420.45,1402.35,1462,1391.15,1460,1437.6,1426.84,610763,8.71464E+13,,85929,0.1407
12-11-2003,WIPRO,EQ,1437.6,1459.95,1476.85,1427,1452,1458.8,1452.43,631835,9.17696E+13,,105993,0.1678
13-11-2003,WIPRO,EQ,1458.8,1479,1494.7,1410.3,1421,1424.95,1450.92,719832,1.04442E+14,,114950,0.1597
14-11-2003,WIPRO,EQ,1424.95,1415.1,1432,1392.75,1416,1415.05,1412.44,683680,9.65655E+13,,67490,0.0987
15-11-2003,WIPRO,EQ,1415.05,1400,1434,1395.5,1434,1413.7,1408.43,157830,2.22292E+13,,14644,0.0928
17-11-2003,WIPRO,EQ,1413.7,1430,1454.35,1401.3,1448,1444.65,1429.61,457407,6.53915E+13,,40073,0.0876
18-11-2003,WIPRO,EQ,1444.65,1450,1460,1403,1415.15,1414.3,1429.86,553788,7.91841E+13,,44949,0.0812
19-11-2003,WIPRO,EQ,1414.3,1405,1435,1375,1425,1414.4,1404.03,749493,1.05231E+14,,79573,0.1062
20-11-2003,WIPRO,EQ,1414.4,1447,1448,1395.5,1398.15,1402.45,1426.65,518375,7.39539E+13,,61601,0.1188
21-11-2003,WIPRO,EQ,1402.45,1400,1464,1392.25,1462,1444.8,1421.28,563078,8.0029E+13,,91181,0.1619
24-11-2003,WIPRO,EQ,1444.8,1460,1460,1423,1447.9,1444,1440.08,551598,7.94344E+13,,74652,0.1353
25-11-2003,WIPRO,EQ,1444,1462,1478,1440.3,1442,1450.35,1453.78,572195,8.31844E+13,,130447,0.228
27-11-2003,WIPRO,EQ,1450.35,1460,1539,1445.5,1538.7,1515.45,1485.98,1146552,1.70376E+14,,266179,0.2322
28-11-2003,WIPRO,EQ,1515.45,1524,1548,1506.35,1540,1537.95,1527.7,683606,1.04434E+14,,93483,0.1367
01-12-2003,WIPRO,EQ,1537.95,1555,1625,1555,1619.9,1615.25,1587.08,879784,1.39628E+14,,138870,0.1578
02-12-2003,WIPRO,EQ,1615.25,1640.6,1645,1546.15,1557.1,1565,1574.3,757845,1.19308E+14,,93469,0.1233
03-12-2003,WIPRO,EQ,1565,1568,1597,1541,1581,1583.15,1570.56,621166,9.75579E+13,,83904,0.1351
04-12-2003,WIPRO,EQ,1583.15,1590,1590,1545.65,1570,1569.95,1566.51,551886,8.64535E+13,,66960,0.1213
